1  number of sets, Nset
 - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
#1	user_mads generated blade	
r                m        x_cg       y_cg         ri_x       ri_y        K_11      K_12			K_13			K_14			K_15			K_16      K_22			K_23			K_24			K_25			K_26        K_33			K_34			K_35			K_36			K_44			K_45			K_46			K_55			K_56			K_66
1.5635081448963e+01 8.4550719319400e+02 3.2170368269200e-01 3.0507448249400e-02 1.1612402709783e+00 1.6256031446664e+00 1.4660919161300e+09 -7.9230915669500e+07 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 -6.7195296287500e-04 8.7011129318200e+08 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 1.9502639770500e-04 1.2896292803100e+10 -9.4527413487300e+08 7.0758982404900e+09 0.0000000000000e+00 1.9962435431500e+10 2.5025589713000e+09 0.0000000000000e+00 3.4880001468200e+10 0.0000000000000e+00 6.0282343416400e+09
1.7797399971484e+01 7.7515195107600e+02 3.8517605913000e-01 3.1942486935800e-02 1.0564483447405e+00 1.6317595628103e+00 1.2450573304700e+09 -7.3625680074700e+07 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 7.6186656951900e-04 7.2523997332000e+08 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 -6.0033798217800e-04 1.1685811464100e+10 -9.5805110943100e+08 7.0789452625700e+09 0.0000000000000e+00 1.5326093615800e+10 1.7958405665000e+09 0.0000000000000e+00 3.1329426974900e+10 0.0000000000000e+00 4.0518943038200e+09
1.9536692938047e+01 7.3579357111000e+02 4.2548071931400e-01 3.8076049352800e-02 9.9764676500991e-01 1.6473207869571e+00 1.1070551422400e+09 -6.6621686571700e+07 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 1.1256337165800e-04 6.7969707706900e+08 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 -6.8140029907200e-04 1.1011240452400e+10 -1.0299505922900e+09 5.9670463506900e+09 0.0000000000000e+00 1.3053593935000e+10 1.3807775110100e+09 0.0000000000000e+00 2.8314997130200e+10 0.0000000000000e+00 3.3507608876500e+09
2.1268943237779e+01 6.9112424644200e+02 4.8108386833600e-01 4.1360037938300e-02 9.4894432253348e-01 1.6509355074101e+00 9.4573009219000e+08 -6.2794605658200e+07 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 -3.0122101306900e-03 6.1634874898300e+08 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 2.8913021087600e-03 1.0268946114100e+10 -9.1440029416900e+08 5.6514631417500e+09 0.0000000000000e+00 1.1102619969200e+10 1.0907363611400e+09 0.0000000000000e+00 2.5829621626600e+10 0.0000000000000e+00 2.6378808225700e+09
2.2999524655602e+01 6.5485249686100e+02 5.3665382110900e-01 4.2137537761300e-02 9.0464053377629e-01 1.6524596667187e+00 8.1426124945600e+08 -5.9445835428200e+07 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 6.6053867340100e-04 5.7003967637100e+08 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 -2.2050142288200e-03 9.6588307373400e+09 -7.9774466692300e+08 5.2285805740700e+09 0.0000000000000e+00 9.5567233949200e+09 8.9628324084100e+08 0.0000000000000e+00 2.3318309405300e+10 0.0000000000000e+00 2.1190219548400e+09
2.4729003496087e+01 6.2587614782200e+02 5.8576678860100e-01 4.0679791544700e-02 8.6325522605255e-01 1.6491620434841e+00 7.1766738458800e+08 -5.6211478072300e+07 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 -1.8936097621900e-03 5.3663405717200e+08 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 2.3913383483900e-04 9.1850964143100e+09 -7.1252879863500e+08 4.8599955458100e+09 0.0000000000000e+00 8.3135166236500e+09 7.4471903552700e+08 0.0000000000000e+00 2.1223214759100e+10 0.0000000000000e+00 1.7436928153500e+09
2.6457856419271e+01 5.9332091893200e+02 5.7517768080200e-01 3.6891876639700e-02 8.1616296667204e-01 1.6575185998691e+00 6.1303777718800e+08 -5.3457621950300e+07 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 4.7570466995200e-04 5.0172808766200e+08 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 -1.4785528183000e-03 8.7121302704100e+09 -5.8960579527000e+08 5.0473172219000e+09 0.0000000000000e+00 7.0091789066300e+09 6.6733368125000e+08 0.0000000000000e+00 2.1591495684500e+10 0.0000000000000e+00 1.4186716319000e+09
2.8185571791385e+01 5.8096905879300e+02 5.8854668456400e-01 2.9768978963500e-02 7.7483328502205e-01 1.6342657379626e+00 6.0169173779200e+08 -5.1445095640000e+07 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 -6.5252184867900e-05 4.8605846207200e+08 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 6.9904327392600e-04 8.5572985871100e+09 -5.2076988576000e+08 4.7534603383500e+09 0.0000000000000e+00 6.1970941060900e+09 6.2161948564300e+08 0.0000000000000e+00 2.0231295246500e+10 0.0000000000000e+00 1.2425064077300e+09
2.9911653022193e+01 5.6622541685800e+02 6.0654184080900e-01 2.3289398965700e-02 7.3722112564905e-01 1.6103945551934e+00 5.7465033726900e+08 -4.8439971829200e+07 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 -1.2007057666800e-03 4.6559601451700e+08 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 2.0825862884500e-04 8.3832160243200e+09 -4.6601242007300e+08 4.6036005850600e+09 0.0000000000000e+00 5.4843002814800e+09 5.6574975829800e+08 0.0000000000000e+00 1.8976543112300e+10 0.0000000000000e+00 1.0895324564000e+09
3.1637217045423e+01 5.4823508892400e+02 6.1111223612500e-01 1.9130220898200e-02 7.0402153094911e-01 1.5734546454165e+00 5.6469159446400e+08 -4.5503693059400e+07 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 -1.0393857955900e-03 4.4571783689900e+08 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 6.5505504608200e-04 8.1920719434800e+09 -4.1439040260700e+08 4.2347370001000e+09 0.0000000000000e+00 4.8713802218700e+09 5.1708122282800e+08 0.0000000000000e+00 1.7181470509000e+10 0.0000000000000e+00 9.6188270637100e+08
3.3361597366900e+01 5.2964795864300e+02 6.2690400552300e-01 1.7508798074100e-02 6.7349099127861e-01 1.5387521500207e+00 5.3674333919600e+08 -4.1384657139100e+07 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 -3.1723082065600e-04 4.2006382588800e+08 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 2.0325183868400e-04 7.9531588982000e+09 -3.8624083887100e+08 3.8766702291500e+09 0.0000000000000e+00 4.3230638715500e+09 4.4543472139500e+08 0.0000000000000e+00 1.5383672816200e+10 0.0000000000000e+00 8.3347563856600e+08
3.5084544602326e+01 5.1031210665500e+02 6.3366440974700e-01 1.7495930149000e-02 6.4471908707334e-01 1.5071036251573e+00 5.2580604889200e+08 -3.7691114965100e+07 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 -1.1150538921400e-04 3.9851363744100e+08 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 -4.2146444320700e-04 7.7639663392300e+09 -3.6361449060000e+08 3.6464976639200e+09 0.0000000000000e+00 3.8425862157000e+09 3.7807209443500e+08 0.0000000000000e+00 1.4105527729100e+10 0.0000000000000e+00 7.4452364719600e+08
3.6806923807035e+01 4.9468140090000e+02 6.2123062547100e-01 1.8536510979800e-02 6.1472682340179e-01 1.4692780425837e+00 5.1258607098400e+08 -3.4120001223700e+07 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 9.0412795543700e-04 3.7653251827800e+08 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 2.4914741516100e-05 7.5551359699800e+09 -3.4684839128900e+08 3.4319576930200e+09 0.0000000000000e+00 3.3938066994200e+09 3.1666262982100e+08 0.0000000000000e+00 1.3009537804400e+10 0.0000000000000e+00 6.5438324962400e+08
3.8528421095735e+01 4.7751441090300e+02 6.1671457751500e-01 1.9790956392400e-02 5.8666189221590e-01 1.4299633262327e+00 4.8434157158600e+08 -3.0457875055000e+07 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 -6.3578784465800e-04 3.5645106489200e+08 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 -4.3153762817400e-05 7.3277812417800e+09 -3.3389975543000e+08 3.2425679435100e+09 0.0000000000000e+00 2.9922387862900e+09 2.5542397896300e+08 0.0000000000000e+00 1.1853031735500e+10 0.0000000000000e+00 5.7080658178300e+08
4.0162598720894e+01 4.6092902978900e+02 5.9933713524900e-01 2.1499292267500e-02 5.6097359752123e-01 1.3901128602839e+00 4.7145047022200e+08 -2.7421311072500e+07 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 9.0017914772000e-05 3.3761267021900e+08 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 -1.2266635894800e-04 7.1084542037600e+09 -3.1535211217200e+08 2.9946387742300e+09 0.0000000000000e+00 2.6494558004900e+09 2.1161484611600e+08 0.0000000000000e+00 1.0712271576800e+10 0.0000000000000e+00 5.0289797042800e+08
4.1882894322424e+01 4.4177737386800e+02 5.8521412152000e-01 2.3238890882000e-02 5.3562503043095e-01 1.3452098062856e+00 4.5938887946800e+08 -2.3982421966400e+07 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 -2.7199089527100e-04 3.1475261279800e+08 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 4.0531158447300e-04 6.8530451634900e+09 -2.9859159661100e+08 2.7705011944200e+09 0.0000000000000e+00 2.3225438805300e+09 1.6547586604800e+08 0.0000000000000e+00 9.6094099634600e+09 0.0000000000000e+00 4.4318648849900e+08
4.3602376081582e+01 4.2533330680600e+02 5.6647290694600e-01 2.5038621071400e-02 5.1059226195331e-01 1.3060428051376e+00 4.4657135786500e+08 -2.1163074404500e+07 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 6.8545341491700e-07 2.9875489985700e+08 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 3.3056735992400e-04 6.6237572959500e+09 -2.7980733320200e+08 2.6003849674800e+09 0.0000000000000e+00 2.0362541303100e+09 1.2925698331400e+08 0.0000000000000e+00 8.7147559450600e+09 0.0000000000000e+00 3.9184423910000e+08
4.5321111046580e+01 4.0138217955200e+02 5.7444515585500e-01 2.5974427155900e-02 4.8960058745884e-01 1.2613598137649e+00 4.1787057702300e+08 -1.8293408527100e+07 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 -9.8010152578400e-04 2.8232707924400e+08 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 9.3221664428700e-05 6.3081504855000e+09 -2.6425888962200e+08 2.2908799600000e+09 0.0000000000000e+00 1.7752411745200e+09 9.6215114020900e+07 0.0000000000000e+00 7.4686326411200e+09 0.0000000000000e+00 3.3785823242300e+08
4.7040283477952e+01 3.8514411819300e+02 5.5420965093100e-01 2.7297706814300e-02 4.6695203407746e-01 1.2217557713295e+00 4.0509462922800e+08 -1.5686316755900e+07 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 4.6576559543600e-04 2.6367523706400e+08 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 -7.6115131378200e-05 6.0584872711600e+09 -2.4479775003500e+08 2.1372252289100e+09 0.0000000000000e+00 1.5504433850900e+09 7.2073865929300e+07 0.0000000000000e+00 6.7213578368700e+09 0.0000000000000e+00 2.9708371143200e+08
4.8759409510131e+01 3.6594790812300e+02 5.4723168319200e-01 2.7952078566000e-02 4.4725931806564e-01 1.1820765358878e+00 3.9255512951500e+08 -1.3486739270300e+07 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 3.7573277950300e-05 2.5163472438400e+08 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 -5.6684017181400e-05 5.8241825274400e+09 -2.2989715389300e+08 1.9691700922100e+09 0.0000000000000e+00 1.3588245572100e+09 5.1142360459700e+07 0.0000000000000e+00 5.9905382656300e+09 0.0000000000000e+00 2.6399821525700e+08
5.0478328280913e+01 3.4693731101900e+02 5.3134340799200e-01 2.8479011326000e-02 4.2787472437837e-01 1.1405004302796e+00 3.6515912006100e+08 -1.1171014338100e+07 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 1.3051182031600e-04 2.3343827332900e+08 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 3.0195713043200e-04 5.5295887150600e+09 -2.1305143638000e+08 1.7806724235800e+09 0.0000000000000e+00 1.1801964226800e+09 3.4936398106400e+07 0.0000000000000e+00 5.2395945710500e+09 0.0000000000000e+00 2.2515842241700e+08
5.2284340788820e+01 3.2632244339000e+02 5.2484510263200e-01 2.8492484166200e-02 4.1012600741891e-01 1.0921933663653e+00 3.5110837038200e+08 -9.3523963591100e+06 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 -6.8661943078000e-04 2.2180833493000e+08 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 8.1819295883200e-04 5.2517938470700e+09 -1.9557069919500e+08 1.5745750384900e+09 0.0000000000000e+00 1.0246206238800e+09 2.2517291920000e+07 0.0000000000000e+00 4.4612823163100e+09 0.0000000000000e+00 1.9846257868800e+08
